BusinessTreeId;BusinessYearEnd;BusinessTreeFatherId
39179;2023;39152
39459;2023;39179
42915;2023;39459
42916;2023;39459
42917;2023;39459
42918;2023;39459
39180;2023;39100
39322;2023;39180
42926;2023;39322
43119;2023;39322
55130;2023;39322
55131;2023;39322
55132;2023;39322
55133;2023;39322
67364;2023;39322
67365;2023;39322
67366;2023;39322
67367;2023;39322
39181;2023;39101
39323;2023;39181
42927;2023;39323
42928;2023;39323
42929;2023;39323
42930;2023;39323
42931;2023;39323
42932;2023;39323
42933;2023;39323
42934;2023;39323
42935;2023;39323
42936;2023;39323
42937;2023;39323
67368;2023;39323
67369;2023;39323
67370;2023;39323
67371;2023;39323
67372;2023;39323
39182;2023;39102
39324;2023;39182
42938;2023;39324
42939;2023;39324
42940;2023;39324
43098;2023;39324
43123;2023;39324
55134;2023;39324
67373;2023;39324
67374;2023;39324
39183;2023;39102
39325;2023;39183
42941;2023;39325
42942;2023;39325
42943;2023;39325
42944;2023;39325
42945;2023;39325
42946;2023;39325
42947;2023;39325
43097;2023;39325
43105;2023;39325
67375;2023;39325
39184;2023;39103
39326;2023;39184
42948;2023;39326
39185;2023;39104
39327;2023;39185
42949;2023;39327
43096;2023;39327
43102;2023;39327
43128;2023;39327
43129;2023;39327
39186;2023;39105
39328;2023;39186
42950;2023;39328
42951;2023;39328
42952;2023;39328
42953;2023;39328
55135;2023;39328
55136;2023;39328
55137;2023;39328
55138;2023;39328
55139;2023;39328
55140;2023;39328
55141;2023;39328
55142;2023;39328
55143;2023;39328
55144;2023;39328
55145;2023;39328
55146;2023;39328
55147;2023;39328
55148;2023;39328
55149;2023;39328
55150;2023;39328
55151;2023;39328
55152;2023;39328
55153;2023;39328
55154;2023;39328
55155;2023;39328
55156;2023;39328
55157;2023;39328
55158;2023;39328
55159;2023;39328
55160;2023;39328
55161;2023;39328
55162;2023;39328
55163;2023;39328
67376;2023;39328
67377;2023;39328
67378;2023;39328
67379;2023;39328
67380;2023;39328
67381;2023;39328
67382;2023;39328
67383;2023;39328
67430;2023;39328
67431;2023;39328
67432;2023;39328
67433;2023;39328
67434;2023;39328
67435;2023;39328
67436;2023;39328
67437;2023;39328
39187;2023;39106
39329;2023;39187
42954;2023;39329
42955;2023;39329
42956;2023;39329
42957;2023;39329
55164;2023;39329
67438;2023;39329
67439;2023;39329
67456;2023;39329
67457;2023;39329
67458;2023;39329
39188;2023;39107
39330;2023;39188
42958;2023;39330
42959;2023;39330
42960;2023;39330
42961;2023;39330
42962;2023;39330
42963;2023;39330
42964;2023;39330
43122;2023;39330
39189;2023;39108
39331;2023;39189
42965;2023;39331
42966;2023;39331
43130;2023;39331
55128;2023;39331
55129;2023;39331
39190;2023;39109
39332;2023;39190
42967;2023;39332
42968;2023;39332
42969;2023;39332
42970;2023;39332
42971;2023;39332
39191;2023;39110
39333;2023;39191
42972;2023;39333
42973;2023;39333
43110;2023;39333
43124;2023;39333
39192;2023;39111
39334;2023;39192
42974;2023;39334
42975;2023;39334
42976;2023;39334
42977;2023;39334
42978;2023;39334
43108;2023;39334
43121;2023;39334
43126;2023;39334
43131;2023;39334
51166;2023;39334
51169;2023;39334
51170;2023;39334
51172;2023;39334
51174;2023;39334
55126;2023;39334
55165;2023;39334
55166;2023;39334
67384;2023;39334
67385;2023;39334
67386;2023;39334
67387;2023;39334
39193;2023;39111
39335;2023;39193
42979;2023;39335
42980;2023;39335
42981;2023;39335
42982;2023;39335
42983;2023;39335
43099;2023;39335
43106;2023;39335
43107;2023;39335
51165;2023;39335
51167;2023;39335
51173;2023;39335
51175;2023;39335
55175;2023;39335
67390;2023;39335
67391;2023;39335
67392;2023;39335
67393;2023;39335
67394;2023;39335
67395;2023;39335
67396;2023;39335
67397;2023;39335
67398;2023;39335
67399;2023;39335
67400;2023;39335
67401;2023;39335
67402;2023;39335
67403;2023;39335
67404;2023;39335
67405;2023;39335
67406;2023;39335
67407;2023;39335
67408;2023;39335
67409;2023;39335
39194;2023;39112
39336;2023;39194
42984;2023;39336
42985;2023;39336
42986;2023;39336
42987;2023;39336
42988;2023;39336
42989;2023;39336
42990;2023;39336
42991;2023;39336
42992;2023;39336
42993;2023;39336
42994;2023;39336
42995;2023;39336
42996;2023;39336
42997;2023;39336
51168;2023;39336
51171;2023;39336
55167;2023;39336
55168;2023;39336
67410;2023;39336
67440;2023;39336
67441;2023;39336
67442;2023;39336
67443;2023;39336
67444;2023;39336
67445;2023;39336
67446;2023;39336
67447;2023;39336
67448;2023;39336
67449;2023;39336
67450;2023;39336
67451;2023;39336
67452;2023;39336
67453;2023;39336
67454;2023;39336
67455;2023;39336
39195;2023;39113
39337;2023;39195
42998;2023;39337
42999;2023;39337
43000;2023;39337
43001;2023;39337
43002;2023;39337
43003;2023;39337
43004;2023;39337
43005;2023;39337
43006;2023;39337
43007;2023;39337
43008;2023;39337
43009;2023;39337
43010;2023;39337
43011;2023;39337
43012;2023;39337
43013;2023;39337
43014;2023;39337
43015;2023;39337
43104;2023;39337
43109;2023;39337
55127;2023;39337
39196;2023;39114
39338;2023;39196
43016;2023;39338
39197;2023;39115
39339;2023;39197
43017;2023;39339
43018;2023;39339
43019;2023;39339
43020;2023;39339
43021;2023;39339
43022;2023;39339
43023;2023;39339
67388;2023;39339
67389;2023;39339
39198;2023;39115
39340;2023;39198
43024;2023;39340
43025;2023;39340
43026;2023;39340
43027;2023;39340
39199;2023;39115
39341;2023;39199
43028;2023;39341
43029;2023;39341
43030;2023;39341
43031;2023;39341
43032;2023;39341
39200;2023;39116
39342;2023;39200
43033;2023;39342
43034;2023;39342
43035;2023;39342
43036;2023;39342
43037;2023;39342
55169;2023;39342
55170;2023;39342
39201;2023;39117
39343;2023;39201
43038;2023;39343
43039;2023;39343
43040;2023;39343
43041;2023;39343
43042;2023;39343
39202;2023;39118
39344;2023;39202
43043;2023;39344
43044;2023;39344
43045;2023;39344
43046;2023;39344
43047;2023;39344
43048;2023;39344
55176;2023;39344
39203;2023;39118
39345;2023;39203
43049;2023;39345
43050;2023;39345
43051;2023;39345
43052;2023;39345
39204;2023;39119
39346;2023;39204
43053;2023;39346
43054;2023;39346
43055;2023;39346
39205;2023;39119
39347;2023;39205
43056;2023;39347
39206;2023;39119
39348;2023;39206
43057;2023;39348
43058;2023;39348
43059;2023;39348
43060;2023;39348
43061;2023;39348
43062;2023;39348
43063;2023;39348
43120;2023;39348
43125;2023;39348
43132;2023;39348
63759;2023;63688
63942;2023;63759
67411;2023;63942
39207;2023;39120
39349;2023;39207
43064;2023;39349
43100;2023;39349
43101;2023;39349
39208;2023;39121
39350;2023;39208
43065;2023;39350
43111;2023;39350
43112;2023;39350
43113;2023;39350
43114;2023;39350
43115;2023;39350
43116;2023;39350
43117;2023;39350
43118;2023;39350
39209;2023;39121
39351;2023;39209
43066;2023;39351
39210;2023;39122
39352;2023;39210
43067;2023;39352
39211;2023;39123
39353;2023;39211
43068;2023;39353
43069;2023;39353
43070;2023;39353
43071;2023;39353
43072;2023;39353
43103;2023;39353
39212;2023;39124
39354;2023;39212
43073;2023;39354
43074;2023;39354
43075;2023;39354
43076;2023;39354
67412;2023;39354
67413;2023;39354
67414;2023;39354
67415;2023;39354
67416;2023;39354
67417;2023;39354
67418;2023;39354
67419;2023;39354
67420;2023;39354
67421;2023;39354
67422;2023;39354
39213;2023;39125
39320;2023;39213
43077;2023;39320
43078;2023;39320
43079;2023;39320
43080;2023;39320
43081;2023;39320
55171;2023;39320
63767;2023;63695
63943;2023;63767
67423;2023;63943
67424;2023;63943
67425;2023;63943
67426;2023;63943
67427;2023;63943
67428;2023;63943
63768;2023;63696
63944;2023;63768
67429;2023;63944
51544;2023;51463
51668;2023;51544
55172;2023;51668
55173;2023;51668
55174;2023;51668
39214;2023;51463
39355;2023;39214
43082;2023;39355
43083;2023;39355
43084;2023;39355
43085;2023;39355
39215;2023;51463
39356;2023;39215
43086;2023;39356
43087;2023;39356
43088;2023;39356
43089;2023;39356
43090;2023;39356
43091;2023;39356
43092;2023;39356
43093;2023;39356
43094;2023;39356
43127;2023;39356
39216;2023;39128
39321;2023;39216
43095;2023;39321
43444;2023;43401
43489;2023;43444
47167;2023;43489
43445;2023;43402
43490;2023;43445
47168;2023;43490
43446;2023;43403
43491;2023;43446
47169;2023;43491
43447;2023;43404
43492;2023;43447
47170;2023;43492
43448;2023;43405
43493;2023;43448
47171;2023;43493
68138;2023;-1
51432;2023;-1
51433;2023;-1
68145;2023;-1
68143;2023;-1
68140;2023;-1
72671;2023;-1
35501;2023;35500
35502;2023;35501
121;2023;-1
122;2023;-1
124;2023;-1
125;2023;-1
77216;2023;-1
77212;2023;-1
77213;2023;-1
162;2023;-1
68131;2023;-1
68132;2023;-1
68134;2023;-1
47415;2023;-1
68133;2023;-1
77214;2023;-1
77211;2023;-1
77209;2023;-1
27459;2023;-1
68139;2023;-1
27462;2023;-1
51553;2023;51484
51772;2023;51553
473;2023;51772
3540;2023;51772
29721;2023;51772
68015;2023;51772
51554;2023;51484
51773;2023;51554
3049;2023;51773
3051;2023;51773
3056;2023;51773
3078;2023;51773
3079;2023;51773
3080;2023;51773
3081;2023;51773
3083;2023;51773
3087;2023;51773
3093;2023;51773
3097;2023;51773
3098;2023;51773
3099;2023;51773
3299;2023;51773
3341;2023;51773
21685;2023;51773
4553;2023;51773
4554;2023;51773
4555;2023;51773
55448;2023;51773
55450;2023;51773
55451;2023;51773
55452;2023;51773
55453;2023;51773
55454;2023;51773
55455;2023;51773
55456;2023;51773
55457;2023;51773
55458;2023;51773
55459;2023;51773
55581;2023;51773
55582;2023;51773
55583;2023;51773
55584;2023;51773
55585;2023;51773
55586;2023;51773
55587;2023;51773
55588;2023;51773
59760;2023;51773
67992;2023;51773
67993;2023;51773
67994;2023;51773
67995;2023;51773
67996;2023;51773
67997;2023;51773
67998;2023;51773
67999;2023;51773
68000;2023;51773
68001;2023;51773
63780;2023;63719
64008;2023;63780
68019;2023;64008
68076;2023;64008
68101;2023;64008
68102;2023;64008
68117;2023;64008
51555;2023;51485
51759;2023;51555
326;2023;51759
327;2023;51759
328;2023;51759
330;2023;51759
2991;2023;51759
2992;2023;51759
2993;2023;51759
779;2023;51759
784;2023;51759
788;2023;51759
6205;2023;51759
6206;2023;51759
855;2023;51759
856;2023;51759
6482;2023;51759
6483;2023;51759
6485;2023;51759
31556;2023;51759
31557;2023;51759
31558;2023;51759
55521;2023;51759
55690;2023;51759
55691;2023;51759
55692;2023;51759
51556;2023;51485
51760;2023;51556
318;2023;51760
333;2023;51760
334;2023;51760
335;2023;51760
348;2023;51760
351;2023;51760
352;2023;51760
527;2023;51760
528;2023;51760
2962;2023;51760
743;2023;51760
6039;2023;51760
756;2023;51760
758;2023;51760
760;2023;51760
761;2023;51760
762;2023;51760
775;2023;51760
776;2023;51760
777;2023;51760
787;2023;51760
789;2023;51760
791;2023;51760
6094;2023;51760
6112;2023;51760
6113;2023;51760
6149;2023;51760
6177;2023;51760
6181;2023;51760
6190;2023;51760
6207;2023;51760
3077;2023;51760
3092;2023;51760
857;2023;51760
865;2023;51760
869;2023;51760
6396;2023;51760
6402;2023;51760
968;2023;51760
973;2023;51760
974;2023;51760
975;2023;51760
976;2023;51760
977;2023;51760
978;2023;51760
979;2023;51760
3270;2023;51760
6489;2023;51760
6490;2023;51760
6806;2023;51760
10407;2023;51760
10408;2023;51760
10409;2023;51760
10419;2023;51760
10420;2023;51760
10421;2023;51760
10422;2023;51760
10423;2023;51760
10424;2023;51760
14113;2023;51760
14114;2023;51760
14122;2023;51760
14125;2023;51760
14127;2023;51760
14128;2023;51760
14129;2023;51760
14138;2023;51760
14149;2023;51760
14153;2023;51760
14154;2023;51760
17849;2023;51760
17886;2023;51760
21629;2023;51760
21630;2023;51760
21635;2023;51760
21636;2023;51760
21641;2023;51760
21663;2023;51760
21664;2023;51760
21665;2023;51760
21684;2023;51760
4512;2023;51760
4513;2023;51760
4514;2023;51760
4515;2023;51760
4516;2023;51760
4517;2023;51760
4518;2023;51760
4519;2023;51760
4520;2023;51760
39086;2023;51760
55468;2023;51760
55469;2023;51760
55470;2023;51760
55471;2023;51760
55476;2023;51760
55508;2023;51760
55509;2023;51760
55510;2023;51760
55511;2023;51760
55512;2023;51760
55513;2023;51760
55514;2023;51760
55519;2023;51760
55522;2023;51760
55523;2023;51760
55524;2023;51760
55530;2023;51760
55531;2023;51760
55532;2023;51760
55533;2023;51760
55534;2023;51760
55535;2023;51760
55572;2023;51760
55573;2023;51760
55574;2023;51760
55575;2023;51760
55576;2023;51760
55577;2023;51760
55578;2023;51760
55579;2023;51760
55580;2023;51760
55623;2023;51760
55683;2023;51760
55688;2023;51760
55689;2023;51760
68092;2023;51760
68093;2023;51760
51557;2023;51485
51761;2023;51557
368;2023;51761
369;2023;51761
370;2023;51761
405;2023;51761
406;2023;51761
538;2023;51761
540;2023;51761
541;2023;51761
542;2023;51761
543;2023;51761
545;2023;51761
546;2023;51761
547;2023;51761
548;2023;51761
550;2023;51761
551;2023;51761
552;2023;51761
553;2023;51761
554;2023;51761
555;2023;51761
556;2023;51761
557;2023;51761
558;2023;51761
559;2023;51761
560;2023;51761
561;2023;51761
562;2023;51761
563;2023;51761
564;2023;51761
565;2023;51761
571;2023;51761
577;2023;51761
578;2023;51761
579;2023;51761
580;2023;51761
581;2023;51761
613;2023;51761
616;2023;51761
617;2023;51761
618;2023;51761
619;2023;51761
620;2023;51761
628;2023;51761
629;2023;51761
742;2023;51761
6038;2023;51761
774;2023;51761
6146;2023;51761
837;2023;51761
6179;2023;51761
841;2023;51761
6200;2023;51761
6201;2023;51761
867;2023;51761
876;2023;51761
880;2023;51761
881;2023;51761
6285;2023;51761
882;2023;51761
6290;2023;51761
6291;2023;51761
6292;2023;51761
6293;2023;51761
6294;2023;51761
6295;2023;51761
6296;2023;51761
6297;2023;51761
6298;2023;51761
6299;2023;51761
6300;2023;51761
6309;2023;51761
898;2023;51761
6332;2023;51761
6333;2023;51761
6334;2023;51761
6569;2023;51761
3448;2023;51761
10398;2023;51761
10403;2023;51761
10404;2023;51761
10405;2023;51761
10411;2023;51761
14145;2023;51761
14148;2023;51761
17860;2023;51761
17861;2023;51761
17862;2023;51761
17863;2023;51761
17864;2023;51761
21607;2023;51761
17892;2023;51761
17894;2023;51761
17896;2023;51761
17897;2023;51761
21653;2023;51761
21654;2023;51761
29732;2023;51761
29733;2023;51761
27476;2023;51761
29735;2023;51761
1535;2023;51761
1536;2023;51761
1577;2023;51761
1584;2023;51761
31555;2023;51761
55515;2023;51761
55682;2023;51761
55687;2023;51761
51558;2023;51485
51762;2023;51558
754;2023;51762
6180;2023;51762
868;2023;51762
6401;2023;51762
6805;2023;51762
6807;2023;51762
14123;2023;51762
14124;2023;51762
14126;2023;51762
17880;2023;51762
17881;2023;51762
21637;2023;51762
21662;2023;51762
29736;2023;51762
29738;2023;51762
29740;2023;51762
31585;2023;51762
31586;2023;51762
31587;2023;51762
31588;2023;51762
55472;2023;51762
55473;2023;51762
55474;2023;51762
55475;2023;51762
55643;2023;51762
68094;2023;51762
68114;2023;51762
68116;2023;51762
63785;2023;51485
63997;2023;63785
68008;2023;63997
27839;2023;27790
150;2023;27839
14117;2023;150
14118;2023;150
14119;2023;150
14120;2023;150
14121;2023;150
17883;2023;150
17884;2023;150
29720;2023;150
1239;2023;150
4087;2023;150
4088;2023;150
4606;2023;150
1561;2023;150
1572;2023;150
1573;2023;150
1574;2023;150
1575;2023;150
1590;2023;150
1591;2023;150
1592;2023;150
1672;2023;150
1675;2023;150
1681;2023;150
1690;2023;150
1692;2023;150
1693;2023;150
1694;2023;150
1697;2023;150
1698;2023;150
15557;2023;150
1701;2023;150
55661;2023;150
55662;2023;150
55665;2023;150
55666;2023;150
55667;2023;150
55668;2023;150
55669;2023;150
55670;2023;150
68002;2023;150
68003;2023;150
68087;2023;150
51560;2023;51487
51763;2023;51560
2325;2023;51763
308;2023;51763
309;2023;51763
310;2023;51763
311;2023;51763
312;2023;51763
313;2023;51763
314;2023;51763
316;2023;51763
319;2023;51763
320;2023;51763
322;2023;51763
324;2023;51763
325;2023;51763
329;2023;51763
371;2023;51763
372;2023;51763
376;2023;51763
377;2023;51763
378;2023;51763
380;2023;51763
381;2023;51763
382;2023;51763
383;2023;51763
384;2023;51763
385;2023;51763
386;2023;51763
387;2023;51763
532;2023;51763
533;2023;51763
