CustomerId,SalesDistrictId,BisnodeScore,CustomerImportanceId,CustomerName1,CustomerBranch
68decc08b833744b8f972c1e9f66533c640aa66a508f453d973b1a0d764a42f0,,,4,peach-manul,Antarctica
86d1257db676c9b19a1323fbb527e405e5df428e2642f4b2c4c33dc67f9c4458,200,2,0,cobalt-clam,Antarctica
660c4f825b18276eb1d857fbf3035c460a02832502b300bdb0bd696bbbd93b01,200,3,7,gorgeous-aardwark,North America
250f253bb026b96722812065b5ab8e838fd8a411eb2686c5d36539b0a004537d,201,6,7,divergent-buzzard,South America
f8f8f7257cd2454882ea3096817b762b124120379b22e32784b496ae3a04196e,200,3,0,origami-catfish,Australia
357cd2781a5f2acd88c1c2fe3c15e19faf21fe8f70ffae927c113a4078de2345,203,1,7,curious-meerkat,North America
8c465e69ab839583bfcd3274e77c3dcad41a8c88d103a9262f98df0174be9bb8,201,3,0,tentacled-muskrat,North America
cd837a307abbab634c9d872f7cb6088264aed619ab106bcceea9e56ba14cc42d,200,1,7,lyrical-camel,Europe
2ebe38fb819443c56768ef747e16bbf52ece2b009b620bdcf89d304cba38c1b9,200,4,0,delectable-unicorn,South America
b86a9334b9df64bf20d84c9533e328d89b8bdf98d8055504f70dfba6356a93ed,201,1,7,lime-perch,Antarctica
282571e06fa3ebe9503f21058ac0eff0aceb756e5907e12e27394998a7b52879,201,,0,banana-ermine,Australia
9c8989d198a1f48151d01ef1fb91a299123e296b07eb6608b6248f553c331c9b,204,14,0,lyrical-marmoset,North America
dd50e4fc6c101d52f72e45d843868bd5423421cae7d715ee140b098bba2a0728,203,4,0,wild-markhor,Africa
6a3f937993a82a7c99801818cccadd86bc37daf796ef697dc0330048b1fdf0d7,200,2,7,cheerful-peacock,Europe
a6247302df44d50884a029a77a990ec2d0fe146671f51d742b798f017a369ef3,201,14,7,lavender-jaybird,Africa
963611fec5986aac2e43577f361184160449a062cdb560b55e5531243c4a919e,201,2,7,brave-puffin,Africa
9aff9aa837b74d30d8712998c38eee685b60fb1c144a24c643a154c06b268665,203,1,7,orange-stallion,Antarctica
a62713382533a086c8622c5957558aef0b6b13cf7342bcc55c6fcf8796341fcf,201,4,7,aquamarine-shellfish,Africa
3bdcd11cfa1cd76168b889de24e55993dcceb4d4e5e28771dcb3bf4e46e6de93,204,6,7,sapphire-dinosaur,South America
b94bb3a42988ff9039dac82201d144d7ba49c0425396b8cdcbc49bb277a17279,200,1,5,pastoral-honeybee,Africa
1ff34256a931e50e604352b3d9f72b0b3b6ae5f5a2034f5a8a0105b8626e0c84,204,1,0,auburn-bullmastiff,Australia
f736a634c306dcaf439b2b4b6aa1d7d9977e4d2dec325ed28daf0e0ee4e8abf6,203,1,7,brainy-manatee,Australia
41029b1c598cdbc5e53bb82ef438773e9663dc1924535ed70f90bbdb88f48f4f,204,2,0,ultraviolet-yak,Asia
3dfb0ccb185628057073dbdacffe6e306fbafaac9b1bf0c18608e5c013e3d387,203,5,0,busy-bison,Africa
dd18e9c604b363657b8ad479cf5d462aadd2641fb4c3d02c29d299fc0c9ee2cb,202,2,0,gigantic-wildcat,North America
ad3cf413b0ae662a3385968c02f405ea2b58cfc3ee047d08052c655cbf49fdc7,203,17,0,chestnut-chowchow,Asia
3fc7fca312d0144c4f3ad54cb9c57cbc7cafe118788bc3ab4fc1927b4b1dc924,200,3,7,banana-partridge,South America
16b91fa5c4e569a6370b4a44718a91f644676b5151a85fb093f9106ceb2162b3,203,4,7,didactic-chamois,Africa
3338fcc136a1e407600dfff0bd68b968c47fd344145cc8c24b90dd3bba401a82,203,2,7,exotic-echidna,Africa
c336d2523aa5d80e16b759b143445c549abb01093ccea598b9a7d9077d7ecfa0,202,1,0,golden-cormorant,Australia
fe6cedef984a37110e8894271198eea61c72ee74f61e5dff10484ac44f1cf36d,204,2,0,imaginary-gazelle,Europe
a454388ea462b3b924829bfda5c4789feadf32feb33df8aa17fce7c3522360e3,26,,0,elated-agouti,Europe
cfc29ac2fa3848822834555c72734b70fe9a0bb1d2711ac04059567eeec8fcae,201,1,0,functional-centipede,Antarctica
c0a34908fd1ceaa0cd5420239630e9756c91397668044bf5afb84f858f77b150,203,1,7,kind-lemming,Africa
3a3cc00788d6ed0520b23445f64cb26e4a731b8b2e3db2e4f49aa97cb1a455f4,201,2,7,kickass-cockatoo,Africa
e90877e6513a12096b9de1a641a71e302c11519465552aedb16ad29f579b6a5b,26,,7,uppish-python,Australia
1f31f690db8673f75e76d0eaf952bf3bf0d525af53b0e2dde48f49c4d5b0a2f7,200,,0,classy-lori,Europe
760e5e56f5533489c3a5e28ab57531e8d6b3f405c6c32eba2e56aa813a9e2598,203,5,7,papaya-armadillo,Australia
f494a55c3fa71a70014da6285a0c4fbd3a4b05204fc1d10227dc7d7b6433abb9,202,4,7,lovely-foxhound,Antarctica
5d83d391e2abd7f29c1a43efd0c1f5995e531e0a2ac027d5b804094dcd2931d4,203,2,7,loose-spaniel,Europe
150330cd97a5c3afdbe5bbfcb6ff8dafb77e916f1e12e0c2bb1e6601a4cd4e92,201,3,7,silent-ladybug,North America
7df17a0f97fe6b50652e631be8efa97b548c7bf8c7a163bf45715cdcb389476c,201,5,7,cerulean-agouti,Antarctica
a1dfb4a1b6389dccefae1122133686988a8bc040e9d7d9ee4185c8104c460004,201,1,7,gregarious-slug,South America
ee38d37bf5f48f27b9870af6cbb73220574c072d6f80d72119ac76edb162c958,200,1,0,curly-caiman,Asia
0a005a43adf69b45c3212766eed5b2721b9bb4e24206caca8a3d9a8ce14f0887,204,3,7,adept-alpaca,Asia
aa609d255bd8da4049b1a17c46f9eea2ec411fe96f002e8749588de82f295d27,203,3,7,competent-salamander,North America
e9a2969e1f223c4a6f7717c6f213ce4648a409680480337500c56dedd3a0143d,,2,7,spiffy-goldfish,Asia
9b7b2d3d849b56806ab0d620a5b19fcc15b49c70847b26667004c7a09d26e248,200,4,7,voracious-dragon,Europe
b1b6539db6fde50294c67d376b23f4ce58b81a0ea0d67856972069bd50c832b6,203,14,7,hallowed-centipede,Africa
548a1e786024457e72d3d605bbcf0af11182e03ae9da82c3cfb998f2e280b699,203,9,0,orange-shark,South America
f00e75d63a130fe020ec1c2e41e5959462a560de1bf34700acbd9ecd2b75d5c2,201,9,7,nippy-tapir,Australia
2b8da1329a7e23e6cda1a6b7e7a3e23553fa5d4138eafca908664d1a02123d82,203,5,7,slim-alligator,Asia
aed837ed215f4161a88a20d8704790b5217d2639e391f9b539eb79126bcf9cfc,200,3,0,chirpy-curassow,Europe
9650a44cb6dad35eb060056a215d6ed7f296290ba18c196ff66a224842f220fd,201,3,7,intrepid-cuttlefish,North America
9879b05f051108e8c44386004cbf49c99f2781867ab2e4eb8c8782957dc9cefc,202,6,7,pastel-robin,South America
0ee7bda5383199136165567eaf5cc34e3051ed641436e9e6af5cee2f530d1e4f,204,3,7,aboriginal-hound,Australia
ec42f9348f9effe62debd590c48b537a8d84e6a7ccc0324e5eb35cdea27193c2,200,1,7,abiding-angelfish,Europe
c83dd4e73a576eb0e84bc76507828ddb95884144efa645056e976aebfd312df9,200,6,0,axiomatic-gibbon,Asia
447ea7f5d3a089977dce6a89d407831d98411f84684270763b870cc70faf0023,200,10,7,auburn-snail,Asia
c956b23dcc289b2972f42fe407feaee7018d2634fe4ce1bc7e0a0a1b914373a7,203,7,7,skinny-newt,Europe
71088630485f18ea39fda2640631eeefadb2c8e4ab3c3225018f7d2b8e449b39,203,4,7,fearless-dalmatian,Asia
77331e58ae0b5ecfa4eaeba4b02888b726fa16fc0fd96b34b5157a549571dd71,200,14,7,solid-carp,South America
bf5ae2a2b95e39629d4bbe14c7192282d4c5a5bedf8568b5f810c364163ffeaf,204,3,7,ruddy-sloth,Africa
0d3388b7640367fd540330032872925805e926eb1d3178afb8144eca429050b9,202,4,7,determined-myna,Africa
f7df5999768ccbdfa797ba46692d2d388b59cf19319c7bb9a360eb01422056d5,204,1,0,boisterous-guppy,Asia
20ae38784c43beaecfa6e8ad7e137bcfa9d652590b9d3da31f76f93a45801a78,203,4,7,icy-sunfish,North America
6379bd78ef62c4a952095268a75545907fb29b942495c96f2d508301bfde5330,204,3,5,macho-mammoth,Asia
32374773e53d51db02a1bd3246929d0116fc8e182132c247195900989dda99cc,200,14,7,wooden-gecko,South America
23cf0975bef5478f3ccf287ed5741fccd38392c48e69a8d999166b6a88b79184,203,14,7,smiling-falcon,Asia
d9c825083425ca325cc8b0ed328c8082bf8ae5021839834dacc9f37c3520c9bd,200,17,7,curly-ocelot,Antarctica
4e7270ded797aae7e6a2e319a2a27eb07d6eeccd3bb7eab66550570b777dc0bc,203,2,7,brawny-cricket,Asia
b89630a7533e5d39938f5223c19121c79b14bd65aa8a5f7ec8d3ee01d05b0d69,201,4,5,crimson-rottweiler,Australia
8cb56186800b88517688d2d0903b1c99f0dcaffea8239b44ab6320768d4621ba,201,10,7,laughing-mandrill,South America
5490fd5290f04ad10201e59ed0a4220ed4b8f5e8856c0560e2c2f17656e4ffcf,203,4,7,almond-barracuda,Australia
ec3371a06fe9b2680002b7800e3c6021c0c8b149a04549308e201bb3f2d7116d,203,17,0,pink-groundhog,Asia
aa61f2e22b11983c8053dd113583cae173237d5ef23003bb72e4222b4e5d361a,200,1,7,remarkable-tuna,North America
bf7f397ff322c8d5f9ee3898039ed9e4694ee7c64cc244b1c5578cadbb059a74,201,1,7,amazing-crayfish,Australia
87c68abbb6c26162dfd9db331869cdc89d72559a3d03c6cea046238a4207b2b7,201,7,5,victorious-vicugna,Australia
97755fde1e10fa8b331aef0e217ec87f01f81d537b668fa24c726b199ef42c0f,201,8,7,military-starfish,North America
92a24ea9176e09e229cc309c7dbfefeba5d783ec6663798edd5471f00486eade,202,4,7,private-tapir,South America
e0dd2100a4b1d343befec67cde637a7747339bb9a1c9f86ba260897efabb8bd3,203,2,0,merry-markhor,Antarctica
c13d647a95fbe5ea8b781ae421b9a9b57bdc7211f923dd782cbd3da94d4f32b3,201,6,7,mindful-gibbon,Antarctica
53e21448ab92a153e98ca050863e3fed9cc2a7e78e13c4cc635123e5dc328cf9,202,7,7,acoustic-goat,North America
a1570553ff1c8133235b2af7d20e1161222ab27b7f9f013e4f13d832b7123c65,203,1,7,white-hound,Australia
5967a717f4e273abd79f261f53fce9cbf9f0d5f22dd63f3a7097f57fa05fb715,,,7,honored-bumblebee,Africa
d58fca4ca3d8b7fcdaab3c910d295cc834e4c55ac1a863fbaf0d43f467377c21,,3,0,practical-mandrill,South America
f00b5b50998f9e7b1d34c1c0498db72bf424b00a1510dd1fcbf1ccb538444732,203,1,7,convivial-swallow,Antarctica
229160477182863da1a10cddd999e03fae0a65de165d54bdb314115958920b1a,200,2,4,liberal-cockle,Antarctica
735680451a19af8ff29ec2a59162b89f2c04ef298a21789ef6eca2937146060c,314,1,7,viridian-bulldog,Antarctica
53764634f50f5b3a348823232a5783c61238117c125992884fa156ee602a088d,202,4,0,bright-silkworm,North America
5f33e34e3b1d94482a42070db2de4861c26d978456f71e3a1fe3dfb5f396270d,26,,0,berserk-millipede,North America
4eed81b9f44a5cb444d638a281adaeb71b1776fe7bd6931fae99a7a333e08e49,203,14,7,fabulous-wasp,Africa
3f1266390fea5538c104d974a0a2f3ae4ae76570c30fd5f54d3ef27e76b05d31,202,1,7,cuddly-chihuahua,South America
b90af89a377940b4ce9569a6690905b4cf642beecce87feb33fa9058361f7337,203,1,0,pistachio-bittern,Asia
56e129ee803df1194ac471e2a874a156cee931e664df1c83175d84a8311cf1b9,203,4,7,glittering-seagull,South America
b7d848c0c585856ed437489a7d874783eb6ed0863cecfd43abdd7937731e01a0,203,1,7,powerful-okapi,Antarctica
0d6c38e9fa2a3376466404198e93179b5fa02d89017b2ce96578a2a041b80818,202,4,5,laughing-unicorn,Antarctica
5a38edc5d1b48e023af7a3a927b968721e2a345d9e53346c606e755dd9febedb,202,2,7,azure-spider,North America
e8a86b201bec58bfaa8c51f6194b6db58ce37e779fd375f09bf6cb6593820886,202,6,0,practical-ara,South America
62cf741258c601a34f29724255412097d22158d768a857786e64ee9a1c806578,201,3,7,watchful-malamute,Africa
1ec3b0caf7938f1c3946996801f9d6592b64d9614f60975013fac13dd5953923,203,1,7,melodic-hare,Australia
58f2134554328ec7d23906091bb340c8c377ee0c1d40178c7158e0d408fb8909,201,2,0,blond-seriema,Australia
cc83f3d75f920ad5549a228d51aebae8a0d48cb3efd887050c2808fe4b1db30c,204,1,7,boisterous-macaw,Asia
b02728b1f260d40ee24c2bb1722515cc69254e6962fd85543fd6d307efe80f03,10312,5,0,solid-auk,Australia
fc618602b11fa2697eccd46a37cc34a04ea898e539fad700911f948b12316e16,201,3,0,psychedelic-clam,Asia
51fb3ebdeca2a0fda157112fabcf2f76067f4433278156f7f092ab7373efab3c,203,1,7,perky-malkoha,Australia
2204e1c3eac4169665483b2e4d544b0156d60a0601a3741b3600ece8ffdb807b,200,1,7,crafty-reindeer,Europe
9111aa5872f58c88d3f6ca7b2ade7dd5180cc17ba79890de33abb191045599e7,,,7,imperial-limpet,Europe
2fa8d1ccdfe62959aeae14037668628636d94f49e9e443cf0160d9414db7f443,203,15,7,xanthic-bullfrog,Europe
1e00abf2c75d9430212ef8985a51b691a9a09bca356921c597ac0ba451ee58a0,204,2,7,manipulative-ladybug,Asia
33fcf924c7559114e09ac7ce0c4f5447a27232ae7150def189a4ab05d209c389,203,3,7,orchid-oarfish,North America
36d2150412be4464d25a4a304367a4c7189e57945013c9a3e6ed844f9c1a3579,201,1,7,cherry-seahorse,Antarctica
bdb8e105caa42345f91f1194bfe7c14eada3edba109634a36b1834d541d9564c,202,1,0,resolute-pony,North America
7cf3138cd6abed803ff2395dcaf223afd84619ef16da050a1e02a1b3ff7da30c,201,4,7,colorful-centipede,Antarctica
d0c15e2322155e4960379177df4197f3231d766d6cb88c635e6dbcf5ae0515ed,200,3,7,adept-jerboa,Australia
b485711a678a7da1335be340faa7643b41d7b0cba5ff48583717b8a894f5e317,202,1,7,vengeful-eagle,South America
6f7e04e2b71adac391f9f116e96c9c986c0ff5a4a918dcbe686894f8a95ab810,203,1,7,intrepid-guillemot,South America
52010377cc17e355d93b66c1337aa72d1f4c13d6b411c7ceaf22a1c72c7c3abf,200,7,7,merciful-seahorse,Africa
8b15ceacfc4ee357913286c04487c3001e0d2b61e520b687461c042877d410f0,202,6,7,cocky-macaw,South America
8e6d2e234839cce8bbcc60ff8057c3b028f31602b339d21b484477dca0513209,203,6,7,wine-hedgehog,South America
03ba8a3eba701688495420faa3c3acaed1ef73d7553cdf4170ff2211603540cd,200,3,7,space-kiwi,North America
bf74eaee8ac53e99c64de57dc852a61e07db5d666ab2bc0ec12c683e427de2b2,200,14,7,adorable-toad,Antarctica
d010a93511502686321ceb1534937bb41191bd864f7508f9e950ef79012996a4,201,1,0,ebony-dragon,Europe
43a65345519245b991b6a3f3ae64fd751ce42af4eb0631330b0e0cfcbad1af17,203,2,7,keen-fox,North America
895c2c49e8120d893a922f6fb5f70df8b18f4ca02223d011d0bf1d897f25b790,201,2,7,rose-jackdaw,Antarctica
7ce7fe82d049bf37fabcfefaab09172c61d9c57ddd7e2d32384ec1e4c72078eb,200,5,7,myrtle-copperhead,North America
38fe03090acf9432b106421432ef9ba044dd6065b27ccaa790636b3b0d993161,203,3,7,vegan-locust,South America
df0aa43bb5d7cc0af46357bbe897ae2fc31ba72ad0bdff2cefdbbecea4d8db77,,,0,economic-jackdaw,Asia
a0bbf9d7eea9057b3e7ae8292c15f16ac42151899e1998208161d61718b9520e,201,14,7,mega-pony,Australia
9ed4ddc29578cadda4ecefb8c99440f90a1bccce778d68538cdbe1e64f4ec0ce,,,0,quixotic-pig,Asia
789023db447dd6ca5f9dcf5fb0e1bb03ca94b03830a12b34ea6f38a2beccf1b6,200,2,0,lavender-marten,Europe
3f7fefbfeacfbe6b3a2c60f0960d3ef0dfaa7d6777f58eb24224668804d49bd7,,,0,real-ferret,Europe
1af640b1175196edeafafee3fda52b215115e790c282fad3e3fffec56e20977c,201,1,7,festive-crayfish,Australia
4b74fc4ec4098b8d1480e3db1719e6ff02fd97aae54e82512056770ca1e051d6,200,2,0,lime-uakari,Australia
583328cecfc6015cfabb95e7a2fe647d940902841354267842f89a0c855ea20d,201,2,7,tomato-dragon,Africa
b3c2c481be07349c5f70b64a88303e608aa800b00cfcb0c070fc2abdceedf21b,201,4,7,unyielding-coucal,Africa
6da016fca87732a4fe6112ceecac54b5264688b1d58b0f3a799ba6b5004b1a01,26,,7,gay-hippo,South America
645c12bbe5b5afe0448f1af6e940bb06c9d28b7a2a5e3545b310d8920ac02fbb,201,1,0,porcelain-coua,Africa
e9bdab98daa93d2a8a623ec89fe42ad9f77c9d2875ee6b02d471a564fb775ef4,201,6,0,fortunate-rattlesnake,Antarctica
69cf131fe077e5fd808def44e5341e67b9c4c0870d83679659e2ef161fa1e846,203,1,7,savvy-swallow,Asia
b3833d640898f51413bf195b33c158abbf4582b1640c46558a376a69524fa56d,,5,0,poised-platypus,North America
2dde4a7ef2be9fa95aae4cbf212c9c29b4b99fcf9b029131bd9a963d97942282,200,6,0,busy-jerboa,Australia
c835337c021939cbf55c2629dd53ed49ad2671029337a6443d6dfd0da103d6d3,200,3,7,arcane-ocelot,Antarctica
24d3c1e1ab6b5b5efc079c49b68635da1d4ea8fa93ae5b69629dc84b7b3e1e17,202,1,0,gifted-viper,Australia
c57783a36b10d61711fdb0dd003759d4e471036029ac71841021bfdf2c30ae33,200,3,0,huge-gazelle,Europe
b26aad31ac740ed03e5090675d4912ec9b6dae0bddc1465db2c10ac100537e89,204,3,7,auspicious-guppy,Asia
3d8791a3834ffb51a4696f161fc8bf561afb2767687233ff3ee27c25e618502a,204,3,7,amorphous-bumblebee,South America
cc8526ef89aa963c85e840626c9958c24c8557fff0ec18fc27b1125c30ef5513,200,1,0,esoteric-ostrich,Antarctica
d0b7759efd8257ae5f87928fd18f5b0ece9d506b748a47c12fc83791cee2dda0,201,3,7,discerning-meerkat,Europe
aef23087d627f957898056bc42fbf0615adbad9ebbcbcaf5a0a16d62b2d80a70,201,2,7,orthodox-muskrat,North America
3d142d8939e2ea19063e82b03fdc0f282a1a95bdf60f5d891c363023169efd8d,203,5,0,scarlet-lobster,South America
ce5fd397df228689f88bec9e48a1b6459d1dc3ae1741c22a5d64c451b7ce8cdc,203,10,7,mega-heron,Asia
0b2f9d4507f137a1d0a1be77f403e96818c20159ce1413a7d064aa2bef7ed1b8,204,1,0,porcelain-jackdaw,Asia
db16197025631ffe37cb8fba5de719def1e47f6664327ddf029d4901b4a81018,200,1,0,ebony-lemur,Europe
5fe71ce306d4d03b47c628043595618435df9e682a33fbd2dba49bad688cbabf,26,,7,bipedal-roadrunner,South America
aaa646cc1e06966f2f288d3ab6e57ca15fa86466e39fe1823e79029667805a1f,200,6,0,striped-capuchin,Asia
88e3a79a945c0cfbc8890d490430790f3c42fa80552d3d755c8dbef382147ede,200,3,7,woodoo-asp,Asia
8f08296b367562114af0819f25b24134d86fa0172ba2b7240f8adffae09b8584,200,17,7,pumpkin-eel,Africa
